Country_A,Country_B,Conflict_Type,Year,Duration_Days,Military_Deaths_A,Military_Deaths_B,Civilian_Deaths,Economic_Loss_USD_Billions,Temperature_Avg_C,Rainfall_mm,Terrain_Type,Population_A_Millions,Population_B_Millions,GDP_A_Billions,GDP_B_Billions,Alliance_A,Alliance_B,Weapons_Used,Air_Strikes,Naval_Battles,Sanctions,Refugees_Millions,Ceasefire,Outcome,Latitude,Longitude,Climate_Zone,Resource_Dispute,UN_Involvement,conflict_type_valid,Conflict_Type_Valid,Year_Valid,Population_Valid,GDP_Valid,Conflict_Coordinates_Valid,On_Land,Land_Valid,Total_Deaths,Civilian_Ratio,Military_Deaths_Ratio_A,Military_Deaths_Ratio_B,Civilian_Deaths_IF_Label,Military_Deaths_IF_Label,Civ_Deaths_Valid,Mil_Deaths_Valid,Total_Deaths_Valid,GDP_Loss_Ratio,GDP_IF_Label,GDP_Loss_IF_Label,GDP_IF_Valid,GDP_Loss_IF_Valid,GDP_LOF_Label,GDP_Loss_LOF_Label,GDP_LOF_Valid,GDP_Loss_LOF_Valid,Coords_IF_Label,Coords_IF_Valid,DBSCAN_Cluster,Coords_DBSCAN_Valid,Total_Deaths_DBSCAN_Cluster,Total_Deaths_DBSCAN_Valid
Russia,Canada,War,1980,1949,21663,5184,131567,365.56,11.9,1713.1,Forest,1269.1,1209.0,19384.1,12765.8,,,Cyber,2449,57,Yes,6.54,Yes,Victory_B,52.932,79.081,Tropical,Water,0,1,0,0,0,0,0,1,1,158414,0.83052634236873,17.069576865495232,4.287841191066997,1,1,1,1,1,0.011370486377873648,1,1,1,1,1,1,1,1,1,1,0,1,0,1
France,Germany,Proxy War,1958,1440,15303,34910,82995,231.67,33.2,1900.9,Mountain,304.4,467.5,18734.5,4131.0,,NATO,Conventional,4253,129,Yes,12.13,No,Stalemate,-56.315,2.048,Tropical,Land,0,1,0,1,0,0,0,0,0,133208,0.6230481652753589,50.27266754270697,74.67379679144385,1,1,1,1,1,0.010131858039404341,1,1,1,1,1,1,1,1,1,1,6,1,0,1
Australia,Canada,Proxy War,1964,1240,9390,16841,141085,162.04,23.0,562.4,Desert,780.5,220.4,14165.4,3408.8,Regional,NATO,Nuclear,383,173,Yes,3.95,Yes,Victory_B,-87.84,-141.052,Arid,,0,1,0,1,0,0,0,1,0,167316,0.843224796194028,12.030749519538757,76.41107078039927,1,1,1,1,1,0.009220334353768591,1,1,1,1,1,1,1,1,-1,0,113,1,0,1
Australia,France,Skirmish,1975,80,34918,16861,181633,304.4,-5.0,2486.0,Desert,120.5,242.6,3276.3,11447.6,,,Nuclear,4493,144,Yes,1.02,No,Stalemate,30.441,9.368,Temperate,Water,0,1,0,1,0,0,0,1,1,233412,0.7781647901564616,289.7759336099585,69.50123660346249,1,1,1,1,1,0.02067387037401775,1,1,1,1,1,1,1,1,1,1,7,1,0,1
Brazil,Israel,Civil War,1959,1803,17231,13436,120851,438.12,-0.5,2603.9,Desert,217.8,1240.4,5476.8,17774.1,Regional,,Nuclear,1096,86,No,1.82,No,Stalemate,14.222,-64.781,Arid,Oil,0,1,0,1,0,0,0,0,0,151518,0.7976016050898244,79.11386593204774,10.831989680748144,1,1,1,1,1,0.018843141555810745,1,1,1,1,1,1,1,1,1,1,3,1,0,1
UK,Iran,War,1978,480,30243,20972,146559,441.9,33.9,1570.0,Urban,347.1,916.5,6011.1,15086.4,NATO,NATO,Mixed,969,63,No,8.54,Yes,Stalemate,-75.063,-82.229,Tropical,Land,0,1,0,0,0,0,0,1,1,197774,0.7410428064356286,87.1305099394987,22.882705946535733,1,1,1,1,1,0.020945609669392108,1,1,1,1,1,1,1,1,1,1,8,1,0,1
India,India,Proxy War,1985,902,24609,13514,147977,54.34,22.7,2737.7,Plains,1376.1,1338.9,976.1,21369.6,Regional,,Nuclear,2520,86,No,15.46,Yes,Stalemate,83.879,42.517,Polar,Oil,0,1,0,1,1,0,0,0,0,186100,0.7951477700161204,17.88314802703292,10.093360221077003,1,1,1,1,1,0.002431787771249055,1,1,1,1,1,1,1,1,1,1,9,1,0,1
Brazil,Brazil,Proxy War,1986,891,22344,4897,81997,214.23,31.2,2534.5,Plains,1116.1,1120.3,9486.7,9747.6,Regional,Regional,Conventional,3251,192,No,16.42,Yes,Stalemate,21.203,104.733,Arid,Water,0,1,0,1,0,0,0,1,1,109238,0.7506270711657116,20.01971149538572,4.371150584664822,1,1,1,1,1,0.011137915078791532,1,1,1,1,1,1,1,1,1,1,-1,0,0,1
Brazil,UK,Civil War,2020,1571,36841,3407,141969,232.41,3.7,2194.0,Mountain,943.3,1074.8,15266.7,21092.6,,NATO,Conventional,3674,53,No,5.82,No,Victory_B,27.274,-20.427,Arid,Water,0,1,0,1,0,0,0,0,0,182217,0.7791204991850377,39.05544365525284,3.169892072943804,1,1,1,1,1,0.006392037250442115,1,1,1,1,1,1,1,1,1,1,10,1,0,1
Russia,USA,Skirmish,1972,1825,26998,46589,134358,488.81,23.4,2202.2,Urban,1282.9,700.2,3615.2,935.3,Regional,Regional,Nuclear,193,170,No,13.27,No,Victory_A,63.648,-2.413,Tropical,Water,0,1,0,0,0,0,0,0,0,207945,0.6461227728485898,21.044508535349596,66.53670379891459,1,1,1,1,1,0.10741896494890671,1,-1,1,1,1,1,1,1,1,1,11,1,0,1
Germany,India,War,1990,18,34483,32668,61947,339.03,22.1,316.2,Plains,1338.7,1149.3,4384.1,9151.5,NATO,,Nuclear,2844,77,Yes,7.85,No,Victory_B,-29.329,54.514,Tropical,Oil,0,1,0,1,1,0,0,0,0,129098,0.47984476909014856,25.758571748711436,28.424258244148614,1,1,1,1,1,0.025047282721120598,1,1,1,1,1,-1,1,0,1,1,12,1,0,1
UK,Russia,Skirmish,1977,1189,47418,2696,118686,203.68,3.3,812.5,Mountain,635.5,578.3,17677.6,1833.8,NATO,Regional,Conventional,4855,182,No,19.45,No,Victory_A,10.486,-135.13,Polar,Land,0,1,0,0,0,0,0,0,0,168800,0.7031161137440758,74.61526357199055,4.661940169462217,1,1,1,1,1,0.010439025390284656,1,1,1,1,1,1,1,1,1,1,13,1,0,1
China,Japan,Skirmish,1997,1549,20238,17267,13537,13.13,14.8,200.5,Forest,459.4,1158.0,4239.6,22981.9,NATO,,Cyber,1252,13,Yes,8.1,No,Victory_B,13.714,118.298,Tropical,Land,0,1,0,1,1,0,0,0,0,51042,0.2652129618745347,44.053112755768396,14.91105354058722,1,1,1,1,1,0.00048233932736990986,1,1,1,1,1,1,1,1,1,1,129,1,0,1
Brazil,Brazil,War,1987,202,43362,22408,77434,282.74,18.2,26.0,Plains,442.1,1061.1,3392.0,11888.1,NATO,Regional,Nuclear,794,171,No,7.92,Yes,Stalemate,84.124,121.298,Arid,,0,1,0,1,0,0,0,0,0,143204,0.5407251194100724,98.0818819271658,21.117708038827633,1,1,1,1,1,0.01850380560336647,1,1,1,1,1,1,1,1,1,1,-1,0,0,1
Ukraine,USA,War,1980,741,5606,24315,193545,48.13,11.7,474.9,Plains,51.0,950.1,24446.3,7910.7,,,Conventional,2722,37,Yes,10.03,No,Victory_A,-66.332,14.777,Arid,,0,1,0,0,0,0,0,0,0,223466,0.8661049108141731,109.92156862745098,25.59204294284812,1,1,1,1,1,0.0014874679358407763,1,1,1,1,1,1,1,1,1,1,-1,0,0,1
Iran,Australia,Proxy War,1963,1370,20705,11895,13205,417.24,27.2,2641.5,Forest,392.2,462.3,378.2,12317.3,Regional,NATO,Nuclear,1626,185,No,0.51,No,Victory_A,46.604,-112.478,Arid,,0,1,0,0,0,0,0,1,1,45805,0.28828730487938,52.79194288628251,25.73004542504867,1,1,1,1,1,0.032865188452601314,1,1,1,1,1,1,1,1,1,1,14,1,0,1
Germany,Germany,Proxy War,2022,1390,13154,15084,11305,376.28,27.5,719.6,Forest,497.7,883.4,8142.0,13325.8,Regional,NATO,Conventional,2841,104,Yes,8.36,Yes,Victory_B,13.527,0.275,Temperate,Water,0,1,0,1,0,0,0,1,1,39543,0.2858913081961409,26.429576049829215,17.074937740547885,1,1,1,1,1,0.017527646055953566,1,1,1,1,1,1,1,1,1,1,10,1,0,1
China,Japan,War,1978,1472,28331,12234,120910,230.31,28.3,2910.5,Plains,52.6,710.0,883.1,21157.3,Regional,NATO,Mixed,90,176,No,16.57,Yes,Victory_A,62.168,-141.862,Arid,Land,0,1,0,1,1,0,0,1,1,161475,0.7487846415853847,538.6121673003802,17.23098591549296,1,1,1,1,1,0.010449447378450483,1,1,1,1,1,1,1,1,1,1,14,1,0,1
Ukraine,France,Cold Conflict,2000,1537,13961,10882,133101,214.66,26.2,1791.9,Forest,1235.8,646.7,20952.8,13565.3,Regional,NATO,Nuclear,3677,15,No,12.24,No,Stalemate,59.751,94.784,Temperate,Oil,0,1,0,1,0,0,0,1,1,157944,0.8427100744567695,11.297135458812106,16.82696768207824,1,1,1,1,1,0.0062187663863306495,1,1,1,1,1,1,1,1,1,1,0,1,0,1
UK,India,Proxy War,1998,319,11687,42102,125646,448.68,12.0,711.8,Mountain,1187.2,1386.4,14592.6,10790.2,NATO,,Nuclear,4172,81,Yes,19.39,No,Victory_A,-87.835,-67.985,Tropical,Land,0,1,0,1,1,0,0,1,0,179435,0.7002312815225569,9.84417115902965,30.367859203693016,1,1,1,1,1,0.017676536867485066,1,1,1,1,1,1,1,1,1,1,72,1,0,1
USA,Israel,Cold Conflict,1992,217,13615,21751,152427,144.3,7.2,1491.4,Plains,352.8,706.7,1208.3,24034.2,,Regional,Cyber,3519,73,No,6.51,No,Victory_B,-43.838,-68.006,Temperate,Oil,0,1,0,1,0,0,0,1,1,187793,0.8116756215620391,38.59126984126984,30.778265176170933,1,1,1,1,1,0.0057165494701396456,-1,1,0,0,1,1,1,1,1,1,3,1,0,1
Ukraine,USA,War,2021,1058,21775,24122,74593,124.59,27.4,657.3,Plains,1123.8,45.7,15387.9,24214.3,Regional,NATO,Cyber,1320,29,No,3.23,No,Victory_A,-57.453,160.218,Arid,,0,1,0,1,1,0,0,0,0,120490,0.619080421611752,19.37622352731803,527.8336980306345,1,1,1,1,1,0.0031460373413598236,1,1,1,1,1,1,1,1,1,1,15,1,0,1
Canada,Ukraine,Proxy War,1954,1895,38722,19022,35144,469.6,12.1,2951.9,Desert,1114.9,877.4,3086.2,970.0,Regional,,Cyber,3459,67,No,15.01,No,Victory_B,-6.892,-28.131,Tropical,Water,0,1,0,0,0,0,0,0,0,92888,0.3783481181638102,34.731366041797465,21.67996352860725,1,1,1,1,1,0.11577338395542627,1,-1,1,1,1,1,1,1,1,1,16,1,0,1
Germany,China,Skirmish,1991,266,16700,14718,166220,404.64,1.1,2541.8,Plains,469.7,1019.5,12398.4,17674.1,,,Cyber,2369,70,Yes,0.87,Yes,Stalemate,72.952,104.247,Temperate,Water,0,1,0,1,1,0,0,1,1,197638,0.841032594946316,35.554609325101126,14.436488474742522,1,1,1,1,1,0.013455482583755923,1,1,1,1,1,1,1,1,1,1,17,1,0,1
Israel,Ukraine,War,1956,1664,27992,17345,164892,410.33,12.8,78.7,Desert,976.2,1239.4,16738.6,9300.2,Regional,NATO,Nuclear,2468,79,Yes,3.19,No,Victory_B,-89.099,49.379,Tropical,,0,1,0,0,0,0,0,1,0,210229,0.7843446907895676,28.674451956566276,13.994674842665805,1,1,1,1,1,0.01575840668540793,1,1,1,1,1,1,1,1,1,1,18,1,0,1
Ukraine,UK,Civil War,1991,724,17843,18360,9784,97.68,-3.6,2843.3,Forest,406.5,886.1,3721.2,16883.2,,NATO,Nuclear,2593,114,Yes,10.14,Yes,Victory_B,-2.125,-66.177,Tropical,Water,0,1,0,1,0,0,0,1,1,45987,0.21275577880705418,43.89421894218942,20.720009028326373,1,1,1,1,1,0.004740734988643203,1,1,1,1,1,1,1,1,1,1,3,1,0,1
Japan,Ukraine,Cold Conflict,1985,775,3874,10127,39655,71.73,21.1,2163.2,Forest,99.3,28.2,12431.3,15926.7,Regional,,Cyber,1657,36,Yes,15.07,Yes,Victory_A,69.263,-135.435,Temperate,,0,1,0,0,1,0,0,1,1,53656,0.7390599373788579,39.01309164149043,359.11347517730496,1,1,1,1,0,0.002529444953804923,1,1,1,1,1,1,1,1,1,1,14,1,0,1
USA,Australia,War,1976,1848,21901,14086,77982,13.11,5.1,247.1,Mountain,707.2,168.5,11440.7,8259.3,,Regional,Cyber,3377,196,No,12.02,No,Victory_B,76.718,107.187,Tropical,Land,0,1,0,1,0,0,0,0,1,113969,0.6842386964876414,30.968608597285066,83.59643916913947,1,1,1,1,1,0.0006654822335025381,1,1,1,1,1,1,1,1,1,1,17,1,0,1
Australia,UK,War,2007,1104,37795,45268,186741,118.6,1.7,2011.9,Desert,614.2,226.6,22894.6,24666.6,Regional,,Nuclear,4037,54,Yes,19.9,Yes,Victory_B,28.314,94.501,Tropical,Oil,0,1,0,1,0,0,0,1,1,269804,0.6921357726349499,61.53533051123412,199.77052074139453,1,1,1,1,1,0.0024936292608260515,-1,1,0,0,1,1,1,1,1,1,-1,0,0,1
Australia,Brazil,Proxy War,1995,1701,28953,3626,124159,387.12,33.0,1940.8,Plains,194.3,296.6,24892.6,8934.2,NATO,NATO,Mixed,345,166,No,13.1,No,Victory_B,59.355,-119.101,Arid,Water,0,1,0,1,0,0,0,1,1,156738,0.7921435771797521,149.01183736489963,12.225219150370869,1,1,1,1,1,0.011444180354038809,1,1,1,1,1,1,1,1,1,1,19,1,0,1
Turkey,Germany,Proxy War,2015,413,4529,26361,27931,120.1,25.0,656.4,Desert,687.3,1119.9,16365.3,15803.2,Regional,NATO,Conventional,3881,184,No,14.5,No,Victory_B,-31.668,-90.318,Polar,,0,1,0,1,0,0,0,0,0,58821,0.47484741843899286,6.589553324603521,23.5387088132869,1,1,1,1,1,0.003733465968260876,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Canada,Brazil,Proxy War,1974,1276,4706,44461,194523,364.58,25.4,2275.3,Forest,1329.2,434.4,21372.9,20336.5,NATO,NATO,Cyber,1664,176,No,19.88,Yes,Victory_B,-38.527,95.845,Polar,Oil,0,1,0,1,0,0,0,0,0,243690,0.7982395666625631,3.5404754739693045,102.35036832412524,1,1,1,1,1,0.008740955276268659,1,1,1,1,1,1,1,1,1,1,20,1,0,1
Ukraine,China,Civil War,2022,1036,4578,1722,162299,126.03,18.1,261.2,Forest,1024.2,438.0,16175.6,3645.2,,Regional,Conventional,3873,96,No,11.85,Yes,Victory_B,-81.158,174.107,Tropical,,0,1,0,1,1,0,0,0,0,168599,0.962633230327582,4.469830111306385,3.9315068493150687,1,1,1,1,1,0.006358471908298353,1,1,1,1,1,1,1,1,-1,0,21,1,0,1
Ukraine,Russia,Proxy War,1976,401,48944,38386,40172,197.71,27.8,1468.3,Mountain,1034.7,1058.1,21908.4,7521.2,NATO,Regional,Mixed,2772,190,Yes,14.29,Yes,Victory_A,0.576,123.711,Temperate,Water,0,1,0,0,0,0,0,1,1,127502,0.3150695675361955,47.30259978737798,36.27823457140157,1,1,1,1,1,0.006718066164677739,1,1,1,1,1,1,1,1,1,1,22,1,0,1
Turkey,Germany,War,1950,1840,18380,29633,35347,491.58,24.2,29.8,Forest,1060.8,578.0,10837.5,4982.3,Regional,Regional,Mixed,649,98,No,5.97,No,Victory_A,-7.95,66.295,Polar,Oil,0,1,0,1,0,0,0,0,0,83360,0.42402831094049903,17.326546003016592,51.2681660899654,1,1,1,1,1,0.03107371774611563,1,1,1,1,1,1,1,1,1,1,20,1,0,1
Iran,Ukraine,Proxy War,2023,724,40234,35525,111563,122.48,16.9,2906.2,Desert,1042.7,91.4,15203.7,19547.7,NATO,,Mixed,2706,111,No,10.74,Yes,Victory_B,-23.055,149.553,Temperate,Water,0,1,0,1,0,0,0,1,1,187322,0.5955680592776076,38.586362328570054,388.67614879649886,1,1,1,1,1,0.0035244623238200475,1,1,1,1,1,1,1,1,1,1,23,1,0,1
Iran,Israel,Skirmish,1991,282,4527,18416,36730,188.25,33.3,2254.7,Plains,28.8,819.6,21130.8,20032.2,NATO,,Nuclear,1912,117,No,18.24,Yes,Victory_B,-69.6,-77.315,Polar,Oil,0,1,0,1,1,0,0,0,0,59673,0.6155212575201515,157.1875,22.469497315763785,1,1,1,1,1,0.004573281830770352,1,1,1,1,1,1,1,1,1,1,8,1,0,1
Turkey,Canada,Proxy War,2001,1136,46344,8799,83502,150.61,-1.4,476.6,Plains,1294.6,183.0,22953.0,6406.0,Regional,Regional,Conventional,3685,161,Yes,17.07,Yes,Victory_B,-48.463,-176.525,Arid,Oil,0,1,0,1,0,0,0,0,0,138645,0.6022719896137617,35.7979298625058,48.08196721311475,1,1,1,1,1,0.005129943117953609,1,1,1,1,1,1,1,1,1,1,-1,0,0,1
Iran,Russia,Civil War,1974,723,5461,14055,51094,54.9,32.5,1025.0,Desert,1162.4,800.8,626.8,113.2,,Regional,Mixed,4861,56,No,6.13,Yes,Stalemate,-53.338,-64.451,Arid,,0,1,0,0,0,0,0,0,0,70610,0.7236085540291743,4.698038540949759,17.5511988011988,1,1,1,1,1,0.07418918918918918,-1,-1,0,0,-1,1,0,1,1,1,3,1,0,1
Russia,Germany,Skirmish,2003,1402,25575,31643,175206,245.0,8.1,481.7,Mountain,385.1,1091.7,2607.8,10589.5,NATO,NATO,Cyber,1809,96,No,7.14,Yes,Victory_B,79.914,169.896,Temperate,Oil,0,1,0,1,0,0,0,0,0,232424,0.7538206037242281,66.41132173461438,28.985069158193642,1,1,1,1,1,0.018564403324922523,1,1,1,1,1,1,1,1,1,1,5,1,0,1
Ukraine,Germany,War,2016,751,741,35524,165311,189.41,13.8,2299.9,Plains,774.3,1301.4,23280.0,17181.6,Regional,NATO,Mixed,3260,61,No,16.93,Yes,Victory_A,83.963,137.509,Temperate,Land,0,1,0,1,0,0,0,0,0,201576,0.8200926697622732,0.9569934134056568,27.296757338251112,1,1,1,1,1,0.004681228621705519,1,1,1,1,1,1,1,1,1,1,24,1,0,1
France,China,War,1955,268,21830,16773,144632,347.47,-4.5,176.7,Desert,861.4,94.8,14217.0,15566.3,NATO,,Cyber,2112,38,No,5.69,Yes,Victory_A,-89.384,-161.872,Arid,Water,0,1,0,1,1,0,0,1,0,183235,0.7893251835075177,25.34246575342466,176.93037974683546,1,1,1,1,1,0.011666605110917865,1,1,1,1,1,1,1,1,-1,0,4,1,0,1
India,France,Cold Conflict,2007,1941,21213,23495,90552,408.82,14.3,2521.2,Desert,185.6,426.2,24754.9,11148.0,,Regional,Cyber,1482,73,No,17.75,Yes,Victory_B,-59.301,0.705,Temperate,,0,1,0,1,1,0,0,0,0,135260,0.6694662132189857,114.29418103448276,55.12670107930549,1,1,1,1,1,0.011386823905589798,1,1,1,1,1,1,1,1,1,1,6,1,0,1
Japan,Ukraine,Skirmish,2019,298,20111,38726,22202,272.17,17.5,2826.6,Forest,356.3,913.8,19817.9,7555.5,,Regional,Mixed,675,66,Yes,15.48,No,Victory_A,69.981,-151.556,Tropical,Oil,0,1,0,1,0,0,0,1,1,81039,0.2739668554646528,56.444007858546165,42.379076384329174,1,1,1,1,1,0.009942864240467022,1,1,1,1,1,1,1,1,1,1,14,1,0,1
Russia,China,Cold Conflict,2002,1341,42953,23807,84788,16.19,34.9,2029.9,Forest,33.5,442.3,20455.3,11864.9,,,Cyber,475,189,Yes,3.05,No,Victory_A,-83.099,104.051,Arid,Land,0,1,0,1,1,0,0,1,1,151548,0.55947950484335,1282.1791044776119,53.82545783404929,1,-1,1,0,1,0.000500925118037636,1,1,1,1,1,1,1,1,1,1,25,1,0,1
UK,Germany,Skirmish,2015,570,19759,19313,157567,309.5,33.9,638.9,Mountain,1209.7,632.0,9659.2,387.4,NATO,Regional,Cyber,325,28,No,14.4,Yes,Stalemate,79.821,-45.858,Arid,Land,0,1,0,1,0,0,0,1,1,196639,0.8013008609685769,16.333801769033645,30.55854430379747,1,1,1,1,1,0.03080644198037147,1,1,1,1,1,1,1,1,1,1,26,1,0,1
Russia,USA,Skirmish,2007,509,36918,10501,132317,27.79,33.5,1080.3,Mountain,35.8,29.1,6446.0,1856.0,Regional,NATO,Nuclear,3263,30,No,16.69,No,Victory_B,-21.588,148.3,Arid,Land,0,1,0,1,1,0,0,1,1,179736,0.7361741665553924,1031.2290502793296,360.8591065292096,1,-1,1,0,1,0.003347386172006745,1,1,1,1,1,1,1,1,1,1,23,1,0,1
France,Russia,Civil War,1951,1974,37421,21296,104583,308.22,5.7,1431.7,Mountain,446.9,971.2,14960.5,4075.3,,Regional,Conventional,2135,59,No,2.89,No,Victory_A,6.963,-160.397,Arid,,0,1,0,0,0,0,0,0,0,163300,0.6404347826086957,83.73461624524502,21.927512355848435,1,1,1,1,1,0.016191596885867684,1,1,1,1,1,1,1,1,1,1,27,1,0,1
UK,China,Cold Conflict,1971,546,21409,26076,191071,342.55,34.6,1813.9,Desert,110.5,1236.7,21977.0,15638.9,Regional,,Nuclear,4253,38,Yes,9.15,No,Victory_A,47.488,84.239,Tropical,Oil,0,1,0,1,1,0,0,1,1,238556,0.800948205033619,193.74660633484163,21.085145952939275,1,1,1,1,1,0.009106521444389207,1,1,1,1,1,-1,1,0,1,1,0,1,0,1
Japan,France,Civil War,1986,775,18788,8858,25483,98.96,10.5,2006.0,Desert,1094.2,1367.6,18145.2,5477.8,,,Nuclear,1296,0,No,17.25,Yes,Victory_B,-46.097,-36.228,Arid,Oil,0,1,0,1,0,0,0,0,0,53129,0.4796438856368462,17.170535551087553,6.477040070195964,1,1,1,1,0,0.00418913770477924,1,1,1,1,1,1,1,1,1,1,3,1,0,1
France,Iran,Skirmish,1969,365,28276,1573,136427,409.69,28.3,1662.6,Forest,1295.1,1162.9,11809.7,10590.2,NATO,Regional,Nuclear,281,55,No,3.97,No,Victory_A,-71.879,-83.438,Arid,Land,0,1,0,0,0,0,0,0,0,166276,0.8204852173494671,21.833063083931744,1.3526528506320405,1,1,1,1,1,0.018289813793811577,1,1,1,1,1,1,1,1,1,1,8,1,0,1
China,India,War,1973,547,3443,13381,189982,455.55,-0.3,1053.9,Plains,788.4,45.5,18832.5,15539.1,NATO,,Conventional,656,100,No,8.98,No,Stalemate,55.791,6.282,Temperate,,0,1,0,1,1,0,0,0,0,206806,0.9186483951142617,4.367072552004059,294.0879120879121,1,1,1,1,1,0.013253674545264115,1,1,1,1,1,1,1,1,1,1,28,1,0,1
